company_name,company_short_data
자이언트케미칼,"제조업, 마그네슘실리케이트"
정우플로우 주식회사,"제조업, 도료"
정일판지주식회사,"제조업, 골판지상자"
제이에스바이오컴퍼니(주),"제조업, 유산균바이오원료"
제이와이솔루션즈,"서비스업, 기업컨설팅 및 연구개발"
조일금속공업(주),"제조업, 자동차부품 외 주물"
좋은세상협동조합,"제조업, 직물제조/컴퓨터부속제조"
주)다원엠피,"제조업, 미용기기"
주)리앤비,"제조업, 종이빨대"
주)세진실업,"제조업, 섬유"
주식회사  태영솔라텍,"건설업, 태양광구조물설치 및 시행"
주식회사 고수플러스,"서비스업, 프로그램 및 시스템 개발 구... 등"
주식회사 남일,"제조업, 플라스틱 사출품"
주식회사 뉴로팩 ,"제조업, 기능성 및 친환경 포장재"
주식회사 니바코퍼레이션,"제조업, 리튬호일 리튬칩"
주식회사 다이나믹디자인,"제조업, 타이어금형"
주식회사 대성이노텍,"제조업, 알카리 상온탈지제"
주식회사 동원파츠,"제조업, 반도체설비부품"
주식회사 동일씨엔에스,"건설업(기계설비공..., 기계설비공사및보온공사, 함석"
주식회사 디센트,"서비스업, 물류관리시스템"
주식회사 디에스케이,"제조업, 디스플레이 장비"
주식회사 라지,"제조업, 자동차부품"
주식회사 랩시스텍,"제조업, OPP포장용테이프, 크라프트... 등"
주식회사 로드에프,"제조업, 캡슐세제,건조기시트(건조기용... 등"
주식회사 마이크로버,"제조업, 극세사 섬유제품 "
주식회사 모드니,"제조업, 유가금속"
주식회사 밀알,"제조업, 의료기기"
주식회사 보고통상,"무역업, 조선기자재,엔진부품,육상플랜... 등"
주식회사 브릴스(BRILS Corp.),"제조업, 로봇제조자동화시스템, 로봇물... 등"
주식회사 비전랩(Vision-Lab),"제조업, 산업용 로봇 및 양산용 자동... 등"
주식회사 비티알,"제조업, 바이오텍관련장비"
주식회사 석진정밀,"제조업, 반도체장비부품"
주식회사 세림향료,"제조업, 식품향료 및 식품 첨가물 "
주식회사 스마트올리브,"서비스업, 모바일전자식권"
주식회사 시피에스티,"무역업, 케미칼및..., 신발발포폼용수지"
주식회사 씨아이에스케미칼,"제조업, 고순도 알루미나"
주식회사 씨팩토리,"서비스업, 에듀테크 서비스"
주식회사 아테나,"제조업, 가전 부품"
주식회사 안앤락,"제조업, 요실금팬티"
주식회사 애즈위메이크,"서비스업, IT서비스"
주식회사 에스씨아이,"제조업, 보조사료, 단미사료"
주식회사 에스에스투인베스트먼트,"전문, 과학 및 기..., 경영컨설팅"
주식회사 에스엠뿌레,"제조업, 소독기, 고압세척기"
주식회사 에코티스,"제조업, 프린터 토너공급기"
주식회사 우리원테크 ,"제조업, 펌프,모터,감속기"
주식회사 우보,"제조업, LED등기구"
주식회사 워시업코리아,"제조업, IoT세탁기기"
주식회사 유에스씨,"제조업, 합성목재"
주식회사 유엔제이코리아,"서비스업, 인력관리용역,근로자파견사업"
주식회사 유진하이텍,"제조업, 자동차,핸드폰 정밀 커넥터 ... 등"
주식회사 이지차저,"건설업, 제조업, ..., 전기자동차충전기 및 충전인프... 등"
주식회사 인큐스,"제조업, 음식물류폐기물처리기"
주식회사 잇츠허니 농업회사법인,"제조업, 스틱벌꿀(탐나비)"
주식회사 제네시스,"서비스업, 수입판매회사"
주식회사 제이오토메이션,"제조업, 기타 전기 장치"
주식회사 좋은스틸,"제조업, 스텐인레스.특수강소재 판매 ... 등"
주식회사 지연피엔피,"제조업, 인쇄물, 라벨 외"
주식회사 진짜맛있는과일,"농업/임업, 명인과일"
주식회사 충남알루미늄,"제조업, ALUMINUM PELLET"
주식회사 컴필,"제조업, 의류용품"
주식회사 케이엘에스,"제조업, 화장품, 뷰티 등"
주식회사 코코컴바인,"제조업, 속옷 및 잠옷, 시니어용품,... 등"
주식회사 티에이치원,"서비스업, 물류관리및컨설팅,도소매업,무... 등"
주식회사 파멕스,"제조업, 자동화 설비 제조"
주식회사 파크테크,"서비스업, DB구축"
주식회사 팡마니,"제조업, 샌드위치, 프로틴 도넛, 핫... 등"
주식회사 팰리스푸드,"제조업, 가공식품"
주식회사 펀비즈,"제조업, 속옷 및 잠옷, 출산용품, ... 등"
주식회사 포시에스,"SW개발 및 공급업, OZ Report, OZ e... 등"
주식회사 한울,"제조업, 기계기구, 압력용기, 반응기... 등"
"주식회사 헬씨뷰티(HEALTHY BEAUTY Co., Ltd)","서비스업, 화장품 유통"
주식회사 황초원,"제조업, 도라지 음료 가공품"
주식회사 휴비스,"제조업, 지능형레이저시스템"
주식회사브이지서브,"서비스업, 밸브,배관자재,안전용품"
주식회사비앤아이,"제조업, 철구조물및파이프제작가공"
주식회사세롬,"제조업, 스티커인쇄"
주식회사에너넷,"제조업, AMI시스템"
주식회사케이미란츠,"건설업, 리모델링, 인테리어"
지리산한지(유),"제조업, 초배지, 도포지, 전사지, ... 등"
지앤지푸드(주),"도매 및 소매업, 식재료, 무역"
지엘코팅스,"제조업, 친환경페인트"
청솔산업전자,"제조업, 시설하우스 난방및환기시스템제... 등"
카스윈,"제조업, 스핀들, 유니트"
케이씨아이 주식회사,"도소매(무역), 화장품"
콘테이너라인(주),"국제물류주선업, 해상/항공화물 수출입 운송 ... 등"
크레이지깨비,"제조업, 소스류"
텔레픽스 주식회사,"서비스업, 위성 하드웨어 개발 및 위성... 등"
토탈리빙 주식회사,"제조업, 음식물쓰레기처리기"
티에스지,"제조업, 금속 절삭기계 , 가공공작기... 등"
파마코푸드 주식회사,"제조업, 홍삼"
푸르메다,"제조업, 다류"
피앤비우창(주),"제조업, 폴리카보네이트"
하나테크닉클샤프트,"제조업, 에어컨 압축기용 샤프트"
하은테크(주),"제조업, 자동차부품 프레스,용접"
한국경영교육원,"서비스업, 컨설팅"
한국경영표준원,"서비스업, 컨설팅"
한국고무 주식회사 ,"제조업, 자동차부품(o-ring,wi... 등"
한국유니온제약(주),"제조업, 케포돈주사, 유니설암"
한국인증평가원 주식회사,"서비스업, 컨설팅"
한국재난안보융합연구소,"전문기, 인테리어디자인업"
한보섬유,"제조업, 홀가먼트니트"
한실어패럴,"제조업, 속옷 내의류"
한울이엔텍(주),"제조업, 수 처리 기계장치, 탈취기 ... 등"
한집사,"기술서비스업, 건설업, 주거"
해줌,"서비스업, 태양광 발전량 예측/설치/유... 등"
허니테크,"제조업, 벌꿀스틱 자동포장기"
홍식이 디저트,"제조업, 커피콩빵"
휴맥스네트웍스,"제조업, 통신장비"
휴먼피아코스텍(주),"제조업, 기초화장품 "
휴미디어,"제조업, 전력증폭조립체, 무선광접속조... 등"
 풍기고려삼 농업회사법인(주) ,"-, -"
(유)호텔다빈,"서비스업, 서비스 / 호텔업"
(주)로즈로드,"제조업, 화장품"
(주)씨제이종합건설,"종합건설업, 건축공사업, "
(주)티즈,"-, -"
(주)현대피씨디,"제조업, 금융자동화기기"
(합)참좋은식품,"제조업, 순대류"
BFA,"-, -"
LG이노텍,"제조업, 전자기계도구"
㈜남도애꽃,"제조업, 식품(각종 HMR)"
㈜대열보일러,"-, 산업용보일러"
㈜두니코프,"-, 음향기기/콘텐츠"
㈜디에이치코리아,"제조업, 주방기구"
㈜보고,"제조업, 자외선살균기 "
㈜성우산기,"제조업, 분체도장 산업기계제작"
㈜세영텍스타일,"-, -"
㈜씨엔티솔루션,"제조업, CNT 복합소재"
㈜이음,"정보통신, 응용 소프트웨어 개발 및 공... 등"
㈜지엠에스이엔지,"-, -"
㈜파워라이트,"제조업, 발광다이오드"
㈜프로네어,"제조업, 한방유황고, 노식BMS"
㈜프린팅웍스,"-, -"
㈜한유테크,"-, -"
㈜현관앞마켓,"-, -"
가야당주식회사,"제조업, 커피가공품"
감람베리팜,"제조업, 주류제조 "
강양HTS,"-, -"
고려옻칠,"제조업, 옻칠제품"
글로벌아토,"제조업, 기념패"
농업회사법인 주식회사올리,"도소매, 농수산물"
농업회사법인 천리팜,"-, -"
들길컴퍼니,"서비스업, 식자재 및 실내장식"
디카모(주),"제조업, 디지털가격표시기"
메종바이닝,"서비스업, 상품종합도매"
바이닝와인앤컨설팅,"서비스업, 문화, 경영컨설"
본로이,"도매및소매업, 건강식품"
아이티엔,"제조업, PCB ASSY 외"
엉클제이커피,"제조업, 커피제"
에스씨텍,"제조업, 전력기기"
에스엠수출협동조합,"서비스업, 종합제품무역"
에이지엠주식회사,"정보통신업, 어플리케이션 , 화장품"
와이케이테크놀로지,"-, -"
운산하우스달래협동조합,"제조업, 식품(떡류)"
원F&amp;B,"제조업, 육가공식품"
윤헌플러스㈜,"제조업, 자동화 기계"
이노폴리텍(주),"제조업, 복합PP, LFT"
정온공원,"장묘, 장묘시설운영"
조광기업,"제조업, 철제의자"
주식회사 노틈엔티씨,"-, -"
주식회사 동신,"-, -"
주식회사 선우시스,"-, -"
주식회사 세현파크,"-, -"
주식회사 케이피코퍼레이션,"제조업, 철구조물"
주식회사 포티스,"-, -"
주식회사코어,"서비스업, 교육 인력 양성"
진성정밀,"-, -"
찬해원,"식품가공, 장류, 염장식품"
칼텍㈜,"제조업, SCR촉매, 광촉매"
케이렙,"서비스업, 의료기기"
평화하이텍,"제조업, 계량기"
포엠인포텍 주식회사,"서비스업, TAMS(유형고정자산관리시스... 등"
플로우테크㈜,"-, -"
하봉정푸드,"제조업, 매실액기스,고추장"
하이소주식회사,"도소매 수출, 화장품 건강식품"
한국디비케이㈜,"제조업, 의약외품, 전기용품"
현대로템,"제조업, 철도차량"
효성첨단소재,"제조업, 화학섬유"
효성티앤씨,"제조업, 스판덱스, 나일론, 폴리에스... 등"
